"","location","mean_rent","num_contracts","CBD_dist","CBD_mins","build_age","num_rooms","over_load","dens_household","dens_pop","commuters","tspend_commuters","month_cost","area","unemp_rate","new_households_5","area_D","higher_edu","num_jobs","dens_jobs","shore","rent_m2"
"115","            Sintra (Sao Pedro de Penaferrim)",517.15,482,30.3,30,32.65,5.1,0.105186115,233.82,519.1,42.79,23.16,719.5,122.63,0.0985996,14.7,26.97,24.94,10566,391.8,0,4.21715730245454
"116","            Terrugem",337.03,267,42.1,46,39.67,4.7,0.118644068,96.06,195.9,19.83,20.64,704,101.04,0.101390025,7.1,26.1,10.19,2895,110.9,0,3.33560965954078
"117","            Pero Pinheiro",307.84,257,26.7,33,48.23,4.6,0.126785714,153.36,271.3,17.29,18.75,566.9,90.24,0.138565891,4.9,15.65,7.13,1961,125.3,0,3.4113475177305
"118","            Casal de Cambra",422.87,807,20.9,26,29.3,4.4,0.208761734,2644.84,5854.3,59.65,29.47,511.6,89.96,0.150190672,14.1,2.17,8.72,1058,487.6,0,4.70064473099155
"119","            Massama",476.89,767,17.5,23,26.3,4.5,0.129533188,6940.68,15373.2,52.9,27.97,533.1,106.15,0.123739984,10,1.83,24.06,3426,1872.1,0,4.4926048045219
"120","            Monte Abraao",412.23,937,15.8,22,29.86,4.3,0.182659523,7987.61,16551.9,53.98,29.5,412.5,87.56,0.142103802,12.5,1.26,16.75,653,518.3,0,4.70797167656464
"121","            Agualva",420.65,1333,19.5,24,37.72,4.3,0.184474488,3596.1,7423,46.41,30.93,472,88.54,0.149821324,10.1,4.83,11.18,2848,589.6,0,4.75096001807093
"122","            Cacem",397.9,817,19.6,23,36.18,4.2,0.190218727,4618.47,9819.5,45.32,29.79,467,86.29,0.13905782,10.3,2.17,10.02,3182,1466.4,0,4.61119480820489
"123","            Mira-Sintra",279.06,122,25.7,28,39.22,5.2,0.100294985,2065.72,4573.2,37.49,33.08,NA,96.12,0.191759919,6.6,1.15,5.9,343,298.3,0,2.90324594257179
"124","            Sao Marcos",439.75,894,22.5,26,28.3,4.1,0.218821729,3579.05,7651.1,59.26,29.42,601.8,87.5,0.124915402,19.3,2.28,14.91,1307,573.2,0,5.02571428571429
"125","            Alhandra",301.25,310,34.9,34,49.97,4.3,0.120062573,1362.66,2580.6,33.29,25.03,592.1,81.41,0.147475481,7.8,2.34,8.97,917,391.9,0,3.70040535560742
"126","            Alverca do Ribatejo",378.57,1104,27,30,33.2,4.4,0.116653061,767.01,1605.3,41.99,26.51,472.8,96.8,0.114159871,12.1,19.35,17.07,8579,443.4,0,3.91084710743802
"127","            Cachoeiras",320.68,11,39.2,43,48.07,5,0.128472222,37.37,77.6,38.94,23.75,812.5,127.83,0.087671233,7.2,9.87,12.6,37,3.7,0,2.50864429320191
"128","            Calhandriz",397.73,11,30.9,34,45.71,4.9,0.063897764,66.64,111.9,45.82,26.75,547.5,114.74,0.095744681,8.6,7.16,11.06,137,19.1,0,3.46635872407182
"129","            Castanheira do Ribatejo",323.02,272,39.5,37,43.15,4.5,0.120936735,211.44,443.6,36.37,22.44,445.8,94.24,0.137159032,10,16.91,9.75,2431,143.8,0,3.42763157894737
"130","            Povoa de Santa Iria",421.66,865,20.7,28,31,4.5,0.111356932,2795.46,6379.1,57.66,28.34,500.9,103.58,0.093791976,13.3,4.6,19.5,3618,786.5,0,4.07086310098475
"131","            Sao Joao dos Montes",308.66,121,37.2,38,29.39,4.9,0.089612127,159.15,333.7,40.92,27.43,535.9,118.65,0.102770619,9.4,18.03,14.47,248,13.8,0,2.60143278550358
"132","            Vialonga",372.32,669,21.9,32,37.19,4.5,0.130113931,519.89,1173.1,49.36,28.06,453.1,93.84,0.116824034,12.7,17.93,10.86,3836,213.9,0,3.96760443307758
"133","            Vila Franca de Xira",316.06,847,36.2,34,43.03,4.5,0.117362696,47.48,85.5,33.25,24.17,564.4,92.87,0.125624792,9,212.79,16.64,5342,25.1,0,3.40325185743512
"134","            Sobralinho",397.42,222,29,33,46.66,4.4,0.124355005,530.27,1106.6,35.69,25.39,452.8,90.45,0.11852404,9.4,4.56,9.3,873,191.4,0,4.39380873410724
"135","            Forte da Casa",379.91,440,22.1,30,25.36,4.3,0.172535211,1116.38,2424.4,50.52,30.08,504.1,88.22,0.112918972,11.7,4.56,10.91,1516,332.5,0,4.30639310813874
"136","            Alfragide",589.31,221,9.7,19,29.12,5,0.056568861,3376.95,7420.8,65.17,21.97,775,116.88,0.082210243,12.7,1.33,47.6,15288,11494.7,0,5.04200889801506
